Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("11"),,,,,," 4,5-dichloro-2-n-octyl-3(2H)-isothiazolone",," Rohm and Haas Company"," LANXESS Corporation "," As a preservative and slimicide in the manufacture of paper and paperboard intended to contact aqueous and fatty food."," 1. As a slimicide, in compliance with 21 CFR 176.300, at a maximum level of 0.034 pound per ton of dry weight fiber.2. As a mold-proofing agent applied to the surface of uncoated paper and paperboard and in coatings for paper and paperboard, in compliance with 21 CFR 176.170(b), at a level not to exceed 100 parts per million (ppm) based on dry fiber weight.3. As a preservative in wet lap and sheet pulp, in compliance with 21 CFR 176.170(a) prior to repulping to produce paper and paperboard, at a level not to exceed 100 parts per million (ppm) based on dry fiber weight.4. As a preservative in pigment dispersions, in compliance with 21 CFR 176.170(b), at a level not to exceed 50 parts per million (ppm).",04/01/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("12"),,,,,," Industrial starch modified by treatment with greater than 5% and not more than 21% by weight 2,3-epoxypropyl trimethylammonium chloride (CAS Reg. No. 3033-77-0)",," Sveriges Starkelse- producenter"," Lyckeby Starkelsen Industrial Starches AB"," For use as a retention aid and/or drainage aid and/or dry-strength agent employed prior to the sheet-forming operation in the manufacture of food-contact paper and paperboard"," The modified industrial starch must be used in compliance with 21 CFR 178.3520(a)(1), (b), and (c). The finished paper and paperboard shall be used only under conditions of use E through H identified in Table 2.",03/31/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("13"),,,,,," Dimethyl 2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid",," BP Amoco Chemicals"," Indorama Ventures<br>Xylenes & PTA LLC"," As a chemically-bound component of ethylene terephthalate-2,6-naphthalate compolymers"," The finished copolymers may contain from 0 to 50 weight percent of the polymer units derived from ethylene 2,6-naphthalate. The finished copolymers must meet any applicable specifications in 21 CFR 177.1630 appropriate to their intended use. The finished copolymers are prepared by the condensation of dimethyl terephthalate or terephthalic acid and dimethyl-2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid with ethylene glycol and are used as the base sheet or base polymer for manufacturing articles and films intended to contact all food types under Conditions of Use A through H as described in Table 2. Adjuvant substances permitted for use in polymers complying with 21 CFR 177.1630 may be used in the subject copolymers subject to any limitations in the authorizing regulation or notification. Manufacturers of the copolymers may market the finished copolymers in accord with section 409(a)(3)(B) of the Federal Food, Drug, and Cosmetic Act, provided the intended use is in conformity with this notification.",03/23/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("14"),,,,,," Dimethyl 2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid",," BP Amoco Chemicals"," Indorama Ventures<br>Xylenes & PTA LLC"," As a chemically-bound component of poly(oxy-1,2-ethanediyloxy carbonyl-2,6-naphthalenediyl carbonyl) homopolymer and copolymers with ethylene terephthalate"," The finished copolymers may contain up to 50 weight percent of the polymer units derived from ethylene terephthalate. The finished homopolymer and copolymers must meet any applicable specifications in 21 CFR 177.1630 appropriate to their intended use. The finished homopolymer is prepared by condensation of dimethyl 2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid with ethylene glycol. The finished copolymers are prepared by the condensation of dimethyl-2,6-naphthalenedicarboxylate or 2,6-naphthalenedicarboxylic acid and dimethyl terephthalate or terephthalic acid with ethylene glycol. The finished homopolymer and copolymers are used as components of the base sheet or base polymer for manufacturing articles and films in contact with all food types under Conditions of Use A through H as described in Table 2. Adjuvant substances permitted for use in polymers complying with 21 CFR 177.1630 may be used in the subject polymers subject to any limitations in the authorizing regulation or notification. Manufacturers of the polymers may market the finished polymers in accord with section 409(a)(3)(B) of the Federal Food, Drug, and Cosmetic Act, provided the intended use is in conformity with this notification.",03/23/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("15"),,,,,," Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis(5-((4-(bis(2-hydroxyethyl)amino)-6-((4-sulfophenyl)amino)-1,3,5-triazin-2-yl)amino)-, tetrasodium salt (CAS Reg. No. 16470-24-9)",," Stilbene Whitening Agent Task Force"," Indulor Leverkusen GmbH & Co. KG <br /> BASF Corporation<br /> Archroma U.S., Inc."," As an optical brightener in paper and paperboard."," The food contact substance is intended as an optical brightener, at levels not to exceed that needed to achieve the desired technical effect, except in uncoated paper and paperboard in compliance with 21 CFR 176.170(a) at levels not to exceed 0.5 lb/ton of paper, and in clay coatings on paper and paperboard, in compliance with 21 CFR 176.170(b) at levels not to exceed 0.25 lb/ton of coated paper, where the uncoated and clay coated paper and paperboard containing the brightener is intended for use in contact with food types I, II, IV-B, VI, and VII-B, as described in Table 1.",04/01/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("16"),,,,,," Cemented carbide formulated as follows: Tungsten Carbide(WC) - 95%, Carbides of titanium, tantalum and niobium - 5%, Cobalt(Co) - 0.5%-1%",," AB Sandvik Hard Materials"," Hyperion Materials & Technologies"," For use in seal rings and bearings for food processing equipment including pumps."," For use in contact with all types of food, in the pH range >2.",04/04/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("17"),,,,,," A perfluorocarbon-cured elastomer (PCE) produced by terpolymerizing tetrafluoroethylene (CAS Reg. No. 116-14-3), perfluoro(2,5-dimethyl-3,6-dioxanone vinyl ether) (CAS Reg. No. 2599-84-0) and perfluoro (6,6-dihydro-6-iodo-3-oxa-1-hexene) (CAS Reg. No. 106108-22-9) and subsequent curing of the terpolymer (CAS Reg. No. 106108-23-0) by crosslinking with triallylcyanurate (CAS Reg. No. 101-37-1) and vulcanizing with 2,5-dimethyl-2,5-di(t-butylperoxy) hexane (CAS Reg. No. 78-63-7), as a 68% dispersion on finely divided silica",," Greene, Tweed and Company, Inc."," Greene, Tweed and Company, Inc."," In the fabrication of vulcanized molded parts for food processing equipment, such as o-rings, gaskets, diaphrams and other materials, that function primarily in sealing applications"," The perfluorocarbon base polymer shall contain no less than 30 weight-percent (wt.-%) of polymer units derived from tetrafluoroethylene, no less than 60 wt.-% of polymer units derived from perfluoro(2,4-dimethyl-3,6-dioxanone vinyl ether), and no more than 4 wt.-% polymer units derived from perfluoro(6,6-dihydro-6-iodo-3-1-hexane). The uncured elastomer shall be composed of no more than 6 parts per hundred of triallylcyanurate and no more than 5 parts per hundred of 2,5-dimethyl-2,5-di(t-butylperoxy)hexane. The PCE must meet any applicable specifications prescribed in 21 CFR 177.2400 Perfluorocarbon cured elastomers.",03/30/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("18"),,,,,," Sodium acrylate/styrene sulfonate copolymer",," Nalco Chemical Company"," Nalco Chemical Company"," As an antiscalant boiler water treatment where steam from treated boilers may contact food."," The food contact substance contains not more than 15% styrene sulfonate and has a molecular weight greater than 20,000 and a polydispersity of 2.0 - 3.3, as measured by a method entitled ""Molecular Weight Distribution of Aqueous Anionic Polymers by Size Exclusion Chromatography (SEC) Using Synchropak GPC Columns"". The substance must not exceed 20 ppm in feed water, must not be used in boilers at pressures above 1000 pounds per square inch gauge (psig), and must meet any applicable specifications prescribed in 21 CFR 173.310.",04/07/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)/EA Supplement"
=T("19"),,,,,," Piperylene / 2-methyl-2-butene / &alpha;-methylstyrene terpolymers (Benzene, (1-methylethenyl)-, polymers with 2-methyl-2-butene and 1,3-pentadiene) (CAS Reg. No. 62258-49-5)",," Total Petrochemicals & Refining USA, Inc."," Total Petrochemicals & Refining USA, Inc."," In the manufacture of can end cements complying with 21 CFR 175.300(b)(3)(xxxi)"," The finished can end cements may contain up to 30 percent by weight of the terpolymer and the finished cans produced with the use of these cements may be used in contact with all types of food under Conditions of Use A through H, defined under Table 2 of 21 CFR 175.300(d).",03/31/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("20"),,,,,," 2,2'-Methylenebis(4,6-di-tert-butylphenyl) 2-ethylhexyl phosphite (CAS Reg. No. 126050-54-2)",," Asahi Denka Kogyo K.K."," Asahi Denka Kogyo K.K."," As an antioxidant and/or stabilizer in linear low-density polyethylene articles intended for contact with food."," The food contact substance shall be used at levels not to exceed 0.15 percent by weight of linear low density polyethylene complying with 21 CFR 177.1520(c), items 3.1 and 3.2. The finished polymers may only be used in contact with food types I, II, IV-B, VI-B, VII-B, and VIII under Conditions of Use B through H as described in Tables 1 and 2, and with food types III, IV-A, V, VI-A, VI-C, VII-A, and IX under Conditions of Use C through G as described in Tables 1 and 2.",04/07/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("21"),,,,,," 2,2'-Methylenebis(4,6-di-tert-butylphenyl) 2-ethylhexyl phosphite (CAS Reg. No. 126050-54-2)",," Asahi Denka Kogyo K.K."," Asahi Denka Kogyo K.K."," As an antioxidant and/or stabilizer in high-density polyethylene articles intended for contact with food."," The food contact substance shall be used at levels not to exceed 0.15 percent by weight of high-density polyethylene homo- and copolymers complying with 21 CFR 177.1520 (where the density of the polymer is not less than 0.94 g/cc). The finished polymers may only be used in contact with food types I, II, IV-B, VI-B, VII-B, and VIII under Conditions of Use B through H as described in Tables 1 and 2, and with food types III, IV-A, V, VI-A, VI-C, VII-A, and IX under Conditions of Use C through G as described in Tables 1 and 2.",04/07/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("22"),,,,,," Phosphorous acid, cyclic neopentanetetraylbis(2,6-di-tert-butyl-4-methylphenyl) ester (CAS Reg. No. 80693-00-1)",," Adeka Corporation"," Adeka Corporation"," As an antioxidant and/or stabilizer in high-density polyethylene homopolymer and copolymers articles intended for contact with food."," The food contact substance (FCS) is to be used at levels not to exceed 0.15 percent by weight of the high-density polyethylene homopolymer and copolymers complying with 21 CFR 177.1520. The finished homopolymer and copolymers are to be used in contact with food types I, II, IV-B, VI-B, VII-B, and VIII, under Conditions of Use B through H, as described in Tables 1 and 2, and with food of types III, IV-A, V, VI-A, VI-C, VII-A, and IX, under Conditions of Use C through G, as described in Tables 1 and 2.",04/08/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("23"),,,,,," C.I. Pigment Red 277, a solid solution of 1-naphthalenesulfonic acid, 2-((2-hydroxy-6 -sulfo-1-naphthalenyl)azo)-, stronium salt (1:1) (CAS Reg. No. 250639-69-1) and 2-naphthalenesulfonic acid, 5-((4-chloro-5-ethyl-2-sulfophenyl) azo)-6-hydroxy-, strontium salt (1:1) (CAS Reg. No. 197566-90-8)",," Engelhard Corporation"," Colors and Effects USA LLC"," As a colorant in food-contact polymers. The colorant is to be used in compliance with 21 CFR 178.3297."," At levels up to 2 percent by weight in all types of food-contact polymers under Conditions of Use A through H as described in Table 2.",04/08/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("24"),,,,,," Tin-based alloy, ASTM B23-49 Grade 1, for filling bearings made from extruded or molded carbon and graphite, which has the following composition: Tin (Balance); Antimony (4.0-5.0%); Copper (4.0-5.0%); Lead (0.004% maximum); Iron (0.05% maximum); Aluminum (0.005% maximum); Zinc (0.005% maximum); Arsenic (0.005% maximum); Bismuth (0.005% maximum); Total other elements (<0.005% maximum).",," Graphite Metallizing Corporation"," Grant Manufacturing and Alloying Inc."," For use to fill bearings, made from extruded or molded carbon and graphite, intended for use in pumps, baking ovens and equipment for transporting or handling of food products."," None.",05/13/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("25"),,,,,," 1-Naphthalenesulfonic acid, 2-((4,5-dihydro-3-methyl-5-oxo-1-(3-sulfophenyl)-1H-pyrazol-4-yl) azo)-, calcium and/or strontium salt (1:1)(C.I. Pigment Yellow 209 and C.I. Pigment Yellow 209:1)",," BASF Corporation"," Colors and Effects USA LLC"," As colorants for all polymers intended for food-contact applications."," The colorants are limited to use levels not exceeding 1 percent by weight of the polymer and are subject to the provisions and definitions set forth in title 21 CFR 178.3297 Colorants for polymers. The finished food-contact articles may contact food under Conditions of Use A through H, as described in Table 2.",04/08/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("26"),,,,,," A solid solution of 2-naphthalenesulfonic acid, 5-(((5-chloro -4-methyl-2- sulfophenyl) azo) -6-hydroxy)-, strontium salt (1:1) and 2-naphthalenesulfonic acid, 5-((4-chloro -5-ethyl -2-sulfophenyl) azo) -6-hydroxy)-, strontium salt(1:1) (C.I. Pigment Red 276)",," BASF Corporation"," Colors and Effects USA LLC"," As a colorant for polymers intended for food-contact applications."," The colorants are limited to use levels not exceeding 2 percent by weight of the polymer and are subject to the provisions and definitions set forth in title 21 CFR 178.3297 Colorants for polymers. The finished food-contact articles may contact food under Conditions of Use A through H, as described in Table 2.",04/08/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("27"),,,,,," C.I. Pigment Orange 79 (Benzoic acid, 4-((2-hydroxy- 6-sulfo-1-naphthalenyl)azo)-, strontium salt (2:1))",," Engelhard Corporation"," Colors and Effects USA LLC"," As a colorant in all types of food-contact polymers."," For use at levels not to exceed 1% by weight as a colorant in all types of food-contact polymers. The finished polymers are intended to contact all types of food under Conditions of Use A through H, as described in Table 2. Use of the colorant is subject to the provisions and definitions set forth in 21 CFR 178.3297.",05/02/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("28"),,,,,," Hydrogenated styrene-butadiene block copolymers modified with maleic anhydride such that the basic polymers are composed of : 18 to 40 percent by weight of units derived from styrene, 58 to 80 percent by weight of units derived from hydrogenated 1,3-butadiene and 0.1 to 2 percent by weight of units derived from maleic anhydride.",," Asahi Chemical Industry Co."," Asahi Chemical Industry Co."," As a modifier (blending component) for polymers that are regulated in 21 CFR Part 177 or the subject of an effective notification."," As a modifier (blending component) for polymers that are regulated in 21 CFR Part 177 or the subject of an effective notification at levels no greater than 10 weight-percent of the blend. The blend is intended for use as a component of articles that contact food of the types I, II, IVB, VI (<13% alcohol), VIIB and VIII under Conditions of Use A through H, as described in Tables 1 and 2. The subject copolymers shall conform to the following specifications based on the analytical methods in 21 CFR 177.1810(c): a minimum molecular weight of 25,000, complete solubility in toluene, glass transition points of -50°C (-58°F) to -20°C (-4°F) and 85°C (185°F) to 105°C (221°F), maximum extractable fraction of 0.010 mg/cm<sup>2</sup> (0.06 mg/in<sup>2</sup>) of surface with testing at reflux temperature for 2 hr on a 0.071 cm (0.028 in) thick sample in distilled water, and maximum extractable fraction in 50 percent ethanol of 0.008 mg/cm<sup>2</sup> (0.05 mg/in<sup>2</sup>) of surface with testing at 66°C (150°F) for 2 hr on a 0.071 cm (0.028 in) thick sample.",05/03/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("29"),,,,,," Tridecanol phosphite condensation product with butylidenebis(2-(1,1-dimethylethyl)-5-methyl-4,1-phenylene) (CAS Reg. No. 13003-12-8)",," Asahi Denka Kogyo K.K."," Asahi Denka Kogyo K.K."," As an antioxidant and/or stabilizer in accordance with 21 CFR 178.2010 in styrene-isoprene-styrene (SIS) copolymer."," The antioxidant will be limited for use at levels not to exceed 0.1 by weight of the SIS copolymer, as a component of pressure-sensitive adhesives complying with 21 CFR 175.125. The adhesives are to be used as components of tape for food packaging and for labels placed on fruits and food containers at room temperature or below.",04/19/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("30"),,,,,," Copolymer of the sodium salt of acrylic acid with polyethyleneglycol allyl ether (CAS Reg. No. 137898-98-7)",," BetzDearborn, Inc."," Veolia WTS USA, Inc."," For use in boiler water additives complying with 21 CFR 173.310."," The mole ratio of the sodium salt of acrylic acid to polyethyleneglycol allyl ether in the copolymer must not exceed 2.5 to 1. In addition, the additive must not exceed 200 parts per million (ppm) in boiler water. Further, this product must meet any applicable specifications under 21 CFR 173.310.",04/11/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("31"),,,,,," Fluorescein, disodium salt or dipotassium salt (CAS Reg. No. 518-47-8) and (CAS Reg. No. 6417-85-2)",," Nalco Chemical Co."," Nalco Chemical Co."," For use in boiler water additives complying with 21 CFR 173.310."," For use only as an inert tracer chemical in boiler systems and must not exceed 900 parts per billion (ppb) in boiler water. In addition, this product must meet any applicable specifications under 21 CFR 173.310.",05/11/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("32"),,,,,," &alpha;-(dinonylphenyl)-&omega;-hydroxypoly(oxy-1,2-ethanediyl) containing not more than 21 moles of ethylene oxide per mole of dinonylphenyl (CAS Reg. No. 9014-93-1)",," BASF Corporation"," BASF Corporation"," As a stabilizer in calcium stearate dispersions used in the manufacture of paper coatings complying with 21 CFR 176.170(b)."," At levels not to exceed 0.05 percent by weight of the finished coating.",05/14/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("33"),,,,,," Silica, ((ethenyldimethylsilyl)oxy)- and ((trimethylsilyl)oxy)-modified (CAS Reg. No. 68988-89-6)",," Dow Corning Corporation"," Dow Silicones Corporation<br>DDP Specialty Electronic Materials US 9, LLC</br>"," To be used in combination with siloxane and silicone coating components permitted for use under 21 CFR 175.300 (b) (3) (xxviii) to manufacture silicone paper coatings intended for use in contact with pressure-sensitive, self-stick labels and tapes to adjust the force required to release the label/tapes which are to be applied to food surfaces."," The silicone coatings may contain the subject silicone resin at up to 50 percent by weight of the total coating solids. The self stick labels and/or tapes are to be used in accordance with 21 CFR 175.125 Pressure sensitive adhesives.",05/18/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("34"),,,,,," Nylon 6/12 resins manufactured by the copolymerization of at least 80 weight percent of epsilon-caprolactam and no more than 20 weight percent of &omega;-aminododecanoic acid. (CAS Reg. No. 25191-04-2)",," UBE Industries, Ltd."," UBE Industries, Ltd."," For use in the manufacture of multilaminate packaging films and not for use in direct contact with food."," The finished resins may safely be used with: non-alcoholic foods at temperatures not to exceed 100°C (212°F); Laminate structures with authorized food-contact materials yield no more than 0.15 milligram of epsilon-caprolactam and 0.04 milligram for both &omega;-laurolactam and &omega;-aminododecanoic acid per square inch when extracted with water at 100°C (212°F) for 5 hours (complying with 177.1395).",05/21/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("35"),,,,,," Dimethyl dicarbonate",," LANXESS Corporation"," LANXESS Corporation"," As a microbial control agent in non-carbonated juice beverages containing up to and including 100 percent juice."," No more than 250 ppm of DMDC may be added to non-carbonated juice beverages containing up to and including 100 percent juice. The DMDC complies with the requirements listed in 21 CFR 172.133(a) and (c). The beverages must be produced under good manufacturing conditions and their microbial load must first be reduced by current technologies such as heat treatment, filtration, etc., prior to the addition of DMDC.",06/09/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("36"),,,,,," Gum rosin (CAS Reg. No. 8050-09-7)",," Resinall Corporation"," Resinall Corporation"," As a reactant in the production of polyester resins (such polyester resins to be otherwise made from materials regulated for production of such resins under 21 CFR 175.320) used as components of coatings applied to polypropylene (PP) films complying with 21 CFR 177.1520."," The polyester resin may be used at levels not to exceed 0.05 milligrams per square inch in coating applied to the film surface area. The coated films may be used in contact with all types of food and under conditions of use A through H in accordance with 21 CFR 175.320.",06/04/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("37"),,,,,," Dimethylolbutanoic acid, (CAS Name: butanoic acid, 2,2-bis(hydroxymethyl)-,) (CAS Reg. No. 10097-02-6)",," Perstorp Polyols, Inc."," Perstorp Polyols, Inc."," As a monomer in the production of polyurethane resins used in adhesives complying with 21 CFR 175.105."," The finished polyurethane resins are prepared by the reaction of dimethylolbutanoic acid with disocyanates and with one or more of the polyols and polyesters listed in 21 CFR 175.105 and optionally with any of the amines listed in 21 CFR 175.105 for use in polyurethane resins. The finished polyurethane resins may safely be used as components of adhesives used in food contact materials held at temperatures not to exceed 120°F, except when separated from the food by a functional barrier in compliance with 21 CFR 177.1390(e)(2)(ii). Manufacturers of the polyurethane resins may market the finished polyurethane resins in accord with section 409(a)(3)(B) of the Federal Food, Drug, and Cosmetic Act, provided the intended use is in conformity with this notification.",06/03/2000," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
