FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"(butyl acrylate, methyl methacrylate, styrene) copolymer"	"608-050-0"	"27136-15-8"	"(butyl acrylate, methyl methacrylate, styrene) copolymer"	"27136-15-8"	"869"	"66763"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 3 %."	""	""	""	""	
"(butyl methacrylate, ethyl acrylate, methyl methacrylate) copolymer"	"-"	"40471-03-2"	"(butyl methacrylate, ethyl acrylate, methyl methacrylate) copolymer"	"40471-03-2"	"867"	"40815"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 2 %."	""	""	""	""	
"(ethyl acrylate, methyl methacrylate) copolymer"	"618-459-6"	"9010-88-2"	"(ethyl acrylate, methyl methacrylate) copolymer"	"9010-88-2"	"868"	"53245"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in: (a) rigid poly(vinyl chloride) (PVC) at a maximum level of 2 % w/w. (b) polylactic acid (PLA) at a maximum level of 5 % w/w. (c) polyethylene terephthalate (PET) at a maximum level of 5 % w/w."	""	""	""	""	
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer"	"-"	"-"	"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer"	""	"1016"	""	"yes"	"no"	"no"	""	""	""	""	"Only to be used up to: (a) 10 % w/w in non-plasticised PVC; (b) 15 % w/w in non-plasticised PLA.The final material shall be used at room temperature or below."	""	""	"in nanoform"	""	
"(methyl methacrylate, butyl acrylate, styrene, glycidyl methacrylate) copolymer"	"-"	"37953-21-2"	"(methyl methacrylate, butyl acrylate, styrene, glycidyl methacrylate) copolymer"	"37953-21-2"	"857"	"66765"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in rigid poly(vinyl chloride) (PVC) at a maximum level of 2 % at room temperature or below."	""	""	""	""	
"(perfluorobutyl)ethylene"	"243-053-7"	"19430-93-4"	"(perfluorobutyl)ethylene"	"19430-93-4"	"973"	"22931"	"no"	"yes"	"no"	""	""	""	""	"Only to be used as a co-monomer up to 0,1 % w/w in the polymerisation of fluoropolymers, sintered at high temperatures."	""	""	""	""	
"(polyethylene terephthalate, hydroxylated polybutadiene, pyromellitic anhydride) copolymer"	"-"	"-"	"(polyethylene terephthalate, hydroxylated polybutadiene, pyromellitic anhydride) copolymer"	""	"979"	"79987"	"yes"	"no"	"no"	""	""	""	""	"Only to be used in polyethylene terephthalate (PET) at a maximum level of 5 % w/w."	""	""	""	""	
"(triethanolamine-perchlorate, sodium salt) dimer"	"480-340-8"	"156157-97-0"	"(triethanolamine-perchlorate, sodium salt) dimer"	"156157-97-0"	"1080"	""	"yes"	"no"	"no"	""	"G38 Group Restriction No. 38 corresponds to FCM substance No. 822,1080. Group restriction specification is expressed as perchlorate."	"822,1080"	"0.002 mg/kg"	"Only to be used in rigid poly (vinyl chloride) in contact with foods included in the food category with reference number 01.01.A in table 2 of Annex III."	"V4a Compliance testing when there is a fat contact shall be performed using saturated fatty food simulants as simulant D2."	""	""	"As perchlorate"	
"(triethanolamine-perchlorate, sodium salt) dimer"	"480-340-8"	"156157-97-0"	"(triethanolamine-perchlorate, sodium salt) dimer"	"156157-97-0"	"1080"	""	"yes"	"no"	"no"	""	"G37 Group Restriction No. 37 corresponds to FCM substance No. 793,1080. Group restriction specification is expressed as triethanolamine."	"793,1080"	"0.05 mg/kg"	"Only to be used in rigid poly (vinyl chloride) in contact with foods included in the food category with reference number 01.01.A in table 2 of Annex III."	""	""	""	"As the sum of triethanolamine and the hydrochloride adduct expressed as triethanolamine"	
"1,1,1-trimethylolpropane"	"201-074-9"	"77-99-6"	"1,1,1-trimethylolpropane"	"77-99-6"	"141"	"949602560013380"	"yes"	"yes"	"no"	"6 mg/kg"	""	""	""	""	""	""	""	""	
"1,1,1-trimethylolpropane trimethacrylate"	"221-950-4"	"3290-92-4"	"1,1,1-trimethylolpropane trimethacrylate"	"3290-92-4"	"463"	"25840"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1,1,1-tris(4-hydroxyphenol)ethane"	"405-800-7"	"27955-94-8"	"1,1,1-tris(4-hydroxyphenol)ethane"	"27955-94-8"	"662"	"25927"	"no"	"yes"	"no"	"0.005 mg/kg"	""	""	""	"Only to be used in polycarbonates."	""	""	""	""	
"1,1,3-tris(2-methyl-4-hydroxy-5-tert-butylphenyl) butane"	"217-420-7"	"1843-03-4"	"1,1,3-tris(2-methyl-4-hydroxy-5-tert-butylphenyl) butane"	"1843-03-4"	"430"	"95600"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1,1-bis(2-hydroxy-3,5-di-tert-butylphenyl)ethane"	"252-816-3"	"35958-30-6"	"1,1-bis(2-hydroxy-3,5-di-tert-butylphenyl)ethane"	"35958-30-6"	"679"	"39060"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1,1-difluoroethane"	"200-866-1"	"75-37-6"	"1,1-difluoroethane"	"75-37-6"	"131"	"48460"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,10-decanediamine"	"211-471-9"	"646-25-3"	"1,10-decanediamine"	"646-25-3"	"863"	"15260"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	"Only to be used as a co-monomer for manufacturing polyamide articles for repeated use in contact with aqueous, acidic and dairy foodstuffs at room temperature or for short term contact up to 150 °C."	""	""	""	""	
"1,2,3,4-tetrahydronaphthalene-2,6-dicarboxylic acid, dimethyl ester"	"-"	"23985-75-3"	"1,2,3,4-tetrahydronaphthalene-2,6-dicarboxylic acid, dimethyl ester"	"23985-75-3"	"1066"	""	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	"Only to be used as a co-monomer in the manufacture of a polyester non-food contact layer in a plastic multilayer material, which is to be used only in contact with foods for which food simulants A, B, C and/or D1 are assigned in Table 2 of Annex III.The specific migration limit in column 8 refers to the sum of the substance and of its dimers (cyclic and open chain)."	""	""	""	"As the sum of the substance and of its dimers (cyclic and open chain)"	
"1,2-benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich"	"271-090-9"	"68515-48-0"	"1,2-benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich"	"68515-48-0"	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"1,2-benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich"	"271-090-9"	"68515-48-0"	"1,2-benzenedicarboxylic acid, di-C8-10-branched alkyl esters, C9-rich"	"68515-48-0"	"728"	"75100"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich"	"271-091-4"	"68515-49-1"	"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich"	"68515-49-1"	"729"	"75105"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	""	""	"As the sum of the substances"	
"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich"	"271-091-4"	"68515-49-1"	"1,2-Benzenedicarboxylic acid, di-C9-11-branched alkyl esters, C10-rich"	"68515-49-1"	"729"	"75105"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae as defined by Directive 2006/141/EC or processed cereal-based foods and baby foods for infants and young children as defined by Directive 2006/125/EC;(c)technical support agent in concentrations up to 0,1 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"1,2-benziso-thiazol-3(2H)-one 1,1-dioxide, sodium salt"	"204-886-1"	"128-44-9"	"1,2-benziso-thiazol-3(2H)-one 1,1-dioxide, sodium salt"	"128-44-9"	"902"	""	"yes"	"no"	"no"	""	""	""	""	"The substance shall comply with the specific purity criteria as set out in Commission Regulation (EU) No 231/2012 (OJ L 83, 22.3.2012, p. 1)."	""	""	""	""	
"1,2-bis(3-aminopropyl)ethylenediamine, polymer with N-butyl-2,2,6,6-tetramethyl-4-piperidinamine and 2,4,6-trichloro-1,3,5-triazine"	"500-311-6"	"136504-96-6"	"1,2-bis(3-aminopropyl)ethylenediamine, polymer with N-butyl-2,2,6,6-tetramethyl-4-piperidinamine and 2,4,6-trichloro-1,3,5-triazine"	"136504-96-6"	"767"	"38510"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1,2-cyclohexanedicarboxylic acid, diisononyl ester"	"431-890-2"	"166412-78-8"	"1,2-cyclohexanedicarboxylic acid, diisononyl ester"	"166412-78-8"	"775"	"45705"	"yes"	"no"	"no"	""	"G32 Group Restriction No. 32 corresponds to FCM substance No. 8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085. Group restriction specification is expressed as the sum of the substances (plasticisers)."	"8,72,73,138,140,157,159,207,242,283,532,670,728,729,775,783,797,798,810,815,1078,1085"	"60 mg/kg"	""	""	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As the sum of the substances"	
"1,2-dihydroxybenzene"	"204-427-5"	"120-80-9"	"1,2-dihydroxybenzene"	"120-80-9"	"289"	"2405115880"	"no"	"yes"	"no"	"6 mg/kg"	""	""	""	""	""	""	""	""	
"1,2-propanediol"	"200-338-0"	"57-55-6"	"1,2-propanediol"	"57-55-6"	"109"	"2374081840"	"yes"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol alginate"	"618-414-0"	"9005-37-2"	"1,2-propyleneglycol alginate"	"9005-37-2"	"567"	"82080"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol dilaurate"	"245-217-3"	"22788-19-8"	"1,2-propyleneglycol dilaurate"	"22788-19-8"	"630"	"82240"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol dioleate"	"203-315-3"	"105-62-4"	"1,2-propyleneglycol dioleate"	"105-62-4"	"213"	"82400"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol dipalmitate"	"251-581-4"	"33587-20-1"	"1,2-propyleneglycol dipalmitate"	"33587-20-1"	"677"	"82560"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol distearate"	"228-229-3"	"6182-11-2"	"1,2-propyleneglycol distearate"	"6182-11-2"	"491"	"82720"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol monolaurate"	"248-315-4"	"27194-74-7"	"1,2-propyleneglycol monolaurate"	"27194-74-7"	"659"	"82800"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol monooleate"	"215-549-3"	"1330-80-9"	"1,2-propyleneglycol monooleate"	"1330-80-9"	"408"	"82960"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol monopalmitate"	"249-369-1"	"29013-28-3"	"1,2-propyleneglycol monopalmitate"	"29013-28-3"	"665"	"83120"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,2-propyleneglycol monostearate"	"215-354-3"	"1323-39-3"	"1,2-propyleneglycol monostearate"	"1323-39-3"	"406"	"83300"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,3,5-benzenetricarboxylic acid trichloride"	"224-594-8"	"4422-95-1"	"1,3,5-benzenetricarboxylic acid trichloride"	"4422-95-1"	"481"	"13060"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	"SML expressed as 1,3,5-benzenetricarboxylic acid."	""	""	""	"As 1,3,5-benzenetricarboxylic acid"	
"1,3,5-trimethyl-2,4,6-tris(3,5-di-tert-butyl-4-hydroxybenzyl)benzene"	"216-971-0"	"1709-70-2"	"1,3,5-trimethyl-2,4,6-tris(3,5-di-tert-butyl-4-hydroxybenzyl)benzene"	"1709-70-2"	"428"	"95200"	"yes"	"no"	"no"	""	""	""	""	""	""	""	""	""	
"1,3,5-tris (2,2-dimethylpropanamido)benzene"	"456-830-2"	"745070-61-5"	"1,3,5-tris (2,2-dimethylpropanamido)benzene"	"745070-61-5"	"784"	"95420"	"yes"	"no"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1,3,5-tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	"248-597-9"	"27676-62-6"	"1,3,5-tris(3,5-di-tert-butyl-4-hydroxybenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	"27676-62-6"	"661"	"95360"	"yes"	"no"	"yes"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1,3,5-tris(4-benzoylphenyl) benzene"	"-"	"227099-60-7"	"1,3,5-tris(4-benzoylphenyl) benzene"	"227099-60-7"	"781"	"95265"	"yes"	"no"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1,3,5-tris(4-tert-butyl-3-hydroxy-2,6-dimethylbenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	"254-996-9"	"40601-76-1"	"1,3,5-tris(4-tert-butyl-3-hydroxy-2,6-dimethylbenzyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	"40601-76-1"	"689"	"95280"	"yes"	"no"	"yes"	"6 mg/kg"	""	""	""	""	""	""	""	""	
"1,3-benzenedimethanamine"	"216-032-5"	"1477-55-0"	"1,3-benzenedimethanamine"	"1477-55-0"	"421"	"13000"	"no"	"yes"	"no"	""	"G34 Group Restriction No. 34 corresponds to FCM substance No. 421,988. Group restriction specification is expressed as 1,3-benzenedimethanamine."	"421,988"	"0.05 mg/kg"	""	""	""	""	"As 1,3-benzenedimethanamine"	
"1,3-bis(2-hydroxyethoxy)benzene"	"203-028-3"	"102-40-9"	"1,3-bis(2-hydroxyethoxy)benzene"	"102-40-9"	"203"	"13323"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1,3-bis(isocyanatomethyl)benzene"	"222-852-4"	"3634-83-1"	"1,3-bis(isocyanatomethyl)benzene"	"3634-83-1"	"988"	""	"no"	"yes"	"no"	""	"G34 Group Restriction No. 34 corresponds to FCM substance No. 421,988. Group restriction specification is expressed as 1,3-benzenedimethanamine."	"421,988"	"0.05 mg/kg"	"SML(T) applies to the migration of its hydrolysis product, 1,3- benzenedimethanamine.To be used only as co-monomer in the manufacture of a middle layer coating on a poly(ethylene terephthalate) polymer film in a multilayer film."	""	""	""	"As 1,3-benzenedimethanamine"	
"1,3-butanediol"	"203-529-7"	"107-88-0"	"1,3-butanediol"	"107-88-0"	"228"	"13690"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1,3-dihydroxybenzene"	"203-585-2"	"108-46-3"	"1,3-dihydroxybenzene"	"108-46-3"	"237"	"2407215910"	"no"	"yes"	"no"	"2.4 mg/kg"	""	""	""	""	""	""	""	""	
"1,3-dioxolane"	"211-463-5"	"646-06-0"	"1,3-dioxolane"	"646-06-0"	"363"	"16450"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	""	""	""	""	""	
"1,3-phenylenediamine"	"203-584-7"	"108-45-2"	"1,3-phenylenediamine"	"108-45-2"	"236"	"23050"	"no"	"yes"	"no"	"0.01 mg/kg"	""	""	""	""	"V28 A detection limit of 0.002 mg/kg food or food simulant applies."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	""	
"1,3-propanediol"	"207-997-3"	"504-63-2"	"1,3-propanediol"	"504-63-2"	"343"	"23770"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	""	""	""	""	
"1,4-bis(hydroxymethyl)cyclohexane"	"203-268-9"	"105-08-8"	"1,4-bis(hydroxymethyl)cyclohexane"	"105-08-8"	"210"	"1339014880"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1,4-butanediol"	"203-786-5"	"110-63-4"	"1,4-butanediol"	"110-63-4"	"254"	"4058013720"	"yes"	"yes"	"no"	""	"G30 Group Restriction No. 30 corresponds to FCM substance No. 254,344,672. Group restriction specification is expressed as 1,4-butanediol."	"254,344,672"	"5 mg/kg"	""	""	""	""	"As 1,4-butanediol"	
"1,4-butanediol bis(2,3-epoxypropyl)ether"	"219-371-7"	"2425-79-8"	"1,4-butanediol bis(2,3-epoxypropyl)ether"	"2425-79-8"	"442"	"13780"	"no"	"yes"	"no"	"0.01 mg/kg"	""	""	""	"Residual content = 1 mg/kg in final product expressed as epoxygroup.Molecular weight is 43 Da."	"V10 Verification of compliance by residual content per food contact surface area (QMA) in case of reaction with food or simulant."	"ND The specific migration limit is non-detectable (ND). A detection limit of 0.01mg substance per kg food is applicable unless specified differently for an individual substance."	""	""	
"1,4-butanediol formal"	"208-015-6"	"505-65-7"	"1,4-butanediol formal"	"505-65-7"	"344"	"2182113810"	"no"	"yes"	"no"	"0.05 mg/kg"	""	""	""	""	"V21 In case of reaction with foods or simulants verification of compliance shall include verification that the migration limits of the hydrolysis products, formaldehyde and 1,4-butanediol, are not exceeded."	""	""	""	
"1,4-butanediol formal"	"208-015-6"	"505-65-7"	"1,4-butanediol formal"	"505-65-7"	"344"	"2182113810"	"no"	"yes"	"no"	""	"G30 Group Restriction No. 30 corresponds to FCM substance No. 254,344,672. Group restriction specification is expressed as 1,4-butanediol."	"254,344,672"	"5 mg/kg"	""	"V21 In case of reaction with foods or simulants verification of compliance shall include verification that the migration limits of the hydrolysis products, formaldehyde and 1,4-butanediol, are not exceeded."	""	""	"As 1,4-butanediol"	
"1,4-butanediol formal"	"208-015-6"	"505-65-7"	"1,4-butanediol formal"	"505-65-7"	"344"	"2182113810"	"no"	"yes"	"no"	""	"G15 Group Restriction No. 15 corresponds to FCM substance No. 98,196,344. Group restriction specification is expressed as formaldehyde."	"98,196,344"	"15 mg/kg"	""	"V21 In case of reaction with foods or simulants verification of compliance shall include verification that the migration limits of the hydrolysis products, formaldehyde and 1,4-butanediol, are not exceeded."	""	""	"As formaldehyde"	
"1,4-cyclohexanedicarboxylic acid"	"214-068-6"	"1076-97-7"	"1,4-cyclohexanedicarboxylic acid"	"1076-97-7"	"806"	"14876"	"no"	"yes"	"no"	"5 mg/kg"	""	""	""	"Only to be used for manufacture of polyesters."	""	""	""	""	
"1,4-diaminobutane"	"203-782-3"	"110-60-1"	"1,4-diaminobutane"	"110-60-1"	"253"	"15250"	"no"	"yes"	"no"	""	""	""	""	""	""	""	""	""	
"1,4-dichlorobenzene"	"203-400-5"	"106-46-7"	"1,4-dichlorobenzene"	"106-46-7"	"217"	"15565"	"no"	"yes"	"no"	"12 mg/kg"	""	""	""	""	""	""	""	""	
"1,4-dihydroxybenzene"	"204-617-8"	"123-31-9"	"1,4-dihydroxybenzene"	"123-31-9"	"295"	"486201594018867"	"yes"	"yes"	"no"	"0.6 mg/kg"	""	""	""	""	""	""	""	""	
